lineage	min	q1	mean	median	q3	max
1;2;172;1022;2759;10395;26212;122576*	0.001	0.293	0.6527999999999999	0.99	0.99	0.99
1;2;172;1022;2759;6100;22879;127227	0.083	0.083	0.083	0.083	0.083	0.083
1;2;172;1022;2759;6100;43559;157373	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;1022;2759;9655;29132;111684*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;1022;2759;9655;31575;145936	0.411	0.411	0.411	0.411	0.411	0.411
1;2;172;1043;3064*;9553*;41152*;117812*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2281;8019;40156;182915	0.198	0.2205	0.47700000000000004	0.243	0.6165	0.99
1;2;172;557;2499;10362;28984;167239*	0.171	0.171	0.171	0.171	0.171	0.171
1;2;172;557;2499;10362;32620;115664	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;10362;32620;156231	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;5036;25906;176359*	0.15	0.582	0.729	0.99	0.99	0.99
1;2;172;557;2499;5036;26919;151212	0.079	0.13374999999999998	0.1885	0.1885	0.24325	0.298
1;2;172;557;2499;5036;28095;101720	0.131	0.24075000000000002	0.6125	0.6345000000000001	0.99	0.99
1;2;172;557;2499;5036;28095;187205	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;5036;28175;100094	0.243	0.243	0.243	0.243	0.243	0.243
1;2;172;557;2499;5036;28175;108885	0.99	0.99	0.9899999999999999	0.99	0.99	0.99
1;2;172;557;2499;5036;28175;138752	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;5036;28175;186328	0.606	0.702	0.798	0.798	0.894	0.99
1;2;172;557;2499;5036;36611;104985	0.243	0.243	0.243	0.243	0.243	0.243
1;2;172;557;2499;5036;36611;108205	0.423	0.423	0.423	0.423	0.423	0.423
1;2;172;557;2499;5036;36611;122582	0.036	0.036	0.036	0.036	0.036	0.036
1;2;172;557;2499;5036;36611;90085	0.559	0.559	0.559	0.559	0.559	0.559
1;2;172;557;2499;5036;36713;142146	0.0	0.495	0.66	0.99	0.99	0.99
1;2;172;557;2499;5036;39802;150250*	0.095	0.1385	0.4223333333333333	0.182	0.586	0.99
1;2;172;557;2499;5036;43297;182961*	0.99	0.99	0.9899999999999999	0.99	0.99	0.99
1;2;172;557;2499;5996;22557;132796	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;5996;39273;150228	0.089	0.31425000000000003	0.5395	0.5395	0.76475	0.99
1;2;172;557;2499;6431;25508;158848	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;6431;26657;133245	0.0	0.4525	0.7403888888888889	0.99	0.99	0.99
1;2;172;557;2499;6431;26657;168461	0.0	0.243	0.6078399999999999	0.606	0.99	0.99
1;2;172;557;2499;6431;26657;168757	0.09	0.16649999999999998	0.441	0.243	0.6165	0.99
1;2;172;557;2499;6431;26657;182861	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;6431;26657;96733	0.247	0.247	0.247	0.247	0.247	0.247
1;2;172;557;2499;6431;27110;85341*	0.127	0.127	0.127	0.127	0.127	0.127
1;2;172;557;2499;6431;29992;113291	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;6431;29992;127631	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;6431;29992;180521	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;6431;30713;136075	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;6431;32741;150130	0.428	0.428	0.428	0.428	0.428	0.428
1;2;172;557;2499;6431;32741;158205	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;6431;33169;157939	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;6431;33169;164403	0.025	0.1335	0.54444	0.432	0.99	0.99
1;2;172;557;2499;6431;33169;165408	0.0	0.153	0.5425454545454546	0.472	0.99	0.99
1;2;172;557;2499;6431;33169;180240	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;6431;34201;113969	0.391	0.48875	0.5865	0.5865	0.68425	0.782
1;2;172;557;2499;6431;34201;142053	0.0	0.21875	0.4375	0.4375	0.65625	0.875
1;2;172;557;2499;6431;34201;144463	0.0	0.243	0.6265918367346939	0.853	0.99	0.99
1;2;172;557;2499;6431;34201;146601	0.0	0.197	0.6228461538461538	0.99	0.99	0.99
1;2;172;557;2499;6431;34201;163677	0.081	0.081	0.081	0.081	0.081	0.081
1;2;172;557;2499;6431;34201;177784	0.611	0.70575	0.8005	0.8005	0.89525	0.99
1;2;172;557;2499;6431;35779;117069	0.0	0.15875	0.46522222222222226	0.3255	0.90375	0.99
1;2;172;557;2499;6431;38510;169792*	0.562	0.562	0.562	0.562	0.562	0.562
1;2;172;557;2499;6431;39354;95936	0.0	0.109	0.43697014925373134	0.331	0.8935	0.99
1;2;172;557;2499;6431;39721;94124	0.023	0.13899999999999998	0.468375	0.34500000000000003	0.837	0.99
1;2;172;557;2499;6431;40237;100004	0.0	0.4035	0.6295	0.764	0.99	0.99
1;2;172;557;2499;6431;40418;125868	0.317	0.40925	0.5015000000000001	0.5015000000000001	0.59375	0.686
1;2;172;557;2499;6431;40418;180617	0.412	0.412	0.412	0.412	0.412	0.412
1;2;172;557;2499;6923;29738;180033	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;6948;39977;170801	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;7640;27416;143676*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;7640;32910;178911	0.0	0.0	0.0	0.0	0.0	0.0
1;2;172;557;2499;7640;41552;113225	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;7640;41552;154164	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;7640;41552;155644	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;7827;28906*;157467*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2499;8699;30072*;172786*	0.115	0.318	0.6931538461538461	0.99	0.99	0.99
1;2;172;557;2838;9944;34482;161862	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;557;2838;9944;34482;163149	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;1541;10161;43292;149282	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;1574;10308;23821;157906	0.013	0.1005	0.2783	0.141	0.4095	0.99
1;2;172;591;1574;10308;29456;93717	0.606	0.7222500000000001	0.83675	0.8755	0.99	0.99
1;2;172;591;1574;10308;33714;159041	0.12	0.12	0.12	0.12	0.12	0.12
1;2;172;591;1574;10308;35864;113270	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;1574;10308;35864;90142	0.182	0.19724999999999998	0.2125	0.2125	0.22775	0.243
1;2;172;591;1574;10308;35864;94599	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;1574;10308;39824;126231	0.182	0.182	0.182	0.182	0.182	0.182
1;2;172;591;1574;10308;39824;130269	0.0	0.007	0.04733333333333334	0.014	0.07100000000000001	0.128
1;2;172;591;1574;10308;39824;134254	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;1574;10308;39824;135719	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;1574;10308;39824;173358	0.089	0.7989999999999999	0.8162666666666667	0.99	0.99	0.99
1;2;172;591;1574;10308;39824;185106	0.0	0.182	0.5897789473684211	0.634	0.99	0.99
1;2;172;591;1574;10308;39824;185681	0.298	0.471	0.644	0.644	0.817	0.99
1;2;172;591;1574;10308;39824;186191	0.0	0.09375	0.42750000000000005	0.26649999999999996	0.99	0.99
1;2;172;591;1574;10308;39824;86829	0.001	0.01925	0.0375	0.0375	0.055749999999999994	0.074
1;2;172;591;1574;10308;39824;93691	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;1574;10308;39824;98340	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;1574;10308;40597;122544	0.17	0.22575	0.28150000000000003	0.28150000000000003	0.33725	0.393
1;2;172;591;1574;10308;41640;156741*	0.293	0.293	0.293	0.293	0.293	0.293
1;2;172;591;1574;10308;44203;99990*	0.124	0.235	0.2834	0.265	0.363	0.43
1;2;172;591;1574;10308;44300;182114	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;1574;8264;37276;162661	0.057	0.0985	0.39566666666666667	0.14	0.565	0.99
1;2;172;591;1574;8264;37481;165480	0.093	0.093	0.093	0.093	0.093	0.093
1;2;172;591;1574;8264;41911;141432	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;1574;8264;41911;188126	0.0	0.0	0.0	0.0	0.0	0.0
1;2;172;591;1574;8264;43344;144239	0.429	0.429	0.429	0.429	0.429	0.429
1;2;172;591;1574;9093;20818;111042	0.584	0.584	0.584	0.584	0.584	0.584
1;2;172;591;1574;9093;20818;155930	0.606	0.702	0.798	0.798	0.894	0.99
1;2;172;591;1574;9093;21007;189912	0.322	0.656	0.7673333333333333	0.99	0.99	0.99
1;2;172;591;1574;9093;39523;94878	0.318	0.318	0.318	0.318	0.318	0.318
1;2;172;591;1574;9093;40027;155693	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;1574;9128;24993;181443*	0.0	0.1005	0.5619999999999999	0.696	0.99	0.99
1;2;172;591;1574;9189;41464*;88862*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;1977;10371;42640*;169448*	0.226	0.226	0.226	0.226	0.226	0.226
1;2;172;591;1977;7926;21090;90311	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;2246;7233;25218;101619	0.688	0.688	0.688	0.688	0.688	0.688
1;2;172;591;2246;7233;27718;190462*	0.146	0.278	0.6788000000000001	0.99	0.99	0.99
1;2;172;591;2580;6002;22783;187721	0.037	0.06999999999999999	0.09066666666666667	0.103	0.1175	0.132
1;2;172;591;2580;6002;33234;138989	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;2580;6002;36559;104082	0.126	0.99	0.8172	0.99	0.99	0.99
1;2;172;591;2580;6002;36559;132945	0.329	0.49425	0.6595	0.6595	0.82475	0.99
1;2;172;591;2580;6002;36559;167763	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;2580;6002;36559;86555	0.127	0.34275	0.5585	0.5585	0.77425	0.99
1;2;172;591;2580;6002;38745;128526	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;2580;6002;38745;181878	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;2580;6002;38745;89083	0.852	0.852	0.852	0.852	0.852	0.852
1;2;172;591;2755;6118;30972*;92942*	0.749	0.749	0.749	0.749	0.749	0.749
1;2;172;591;2755;7602;29280*;103547*	0.115	0.3325	0.5674285714285714	0.606	0.798	0.99
1;2;172;591;2755;7870;30900;108235*	0.132	0.218	0.2684	0.25	0.359	0.383
1;2;172;591;2755;7870;33805;151979*	0.0	0.1085	0.340625	0.27649999999999997	0.41400000000000003	0.99
1;2;172;591;3149;5106;22294;189146*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;3149;5106;36970;132307*	0.0	0.0	0.0	0.0	0.0	0.0
1;2;172;591;3149;5106;38013;166558	0.127	0.127	0.127	0.127	0.127	0.127
1;2;172;591;3149;5106;38013;90150	0.162	0.783	0.783	0.99	0.99	0.99
1;2;172;591;3149;5408;27707;171654	0.076	0.10849999999999999	0.13633333333333333	0.141	0.16649999999999998	0.192
1;2;172;591;3149;5408;27707;172809	0.0	0.968	0.7876	0.99	0.99	0.99
1;2;172;591;3149;5408;27707;179610	0.51	0.51	0.51	0.51	0.51	0.51
1;2;172;591;3149;6014;20063;149601	0.0	0.18975	0.4908333333333333	0.4065	0.87	0.99
1;2;172;591;3149;8793;42528*;88549*	0.299	0.47175	0.6445	0.6445	0.81725	0.99
1;2;172;591;3149;9009;21328;183649*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;591;3149;9009;39643;183044*	0.298	0.298	0.298	0.298	0.298	0.298
1;2;172;632;1771;5165;44857*;192400*	0.067	0.2875	0.602	0.6755	0.99	0.99
1;2;172;632;1771;5595;29729;106104	0.51	0.51	0.51	0.51	0.51	0.51
1;2;172;632;1771;5595;29729;184999	0.99	0.99	0.9899999999999999	0.99	0.99	0.99
1;2;172;632;1771;6757;24861;179625	0.131	0.34575	0.5605	0.5605	0.77525	0.99
1;2;172;632;1771;6757;34287;131183	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;632;1771;6757;42453;126021*	0.0	0.1365	0.36624999999999996	0.2375	0.46725	0.99
1;2;172;681;1602;5118;23696;173857*	0.191	0.191	0.191	0.191	0.191	0.191
1;2;172;681;1602;5118;32390;168696*	0.0	0.131	0.262	0.262	0.393	0.524
1;2;172;681;1602;5277;35321;154075	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;681;1602;5277;35321;163383	0.093	0.31725000000000003	0.5415	0.5415	0.7657499999999999	0.99
1;2;172;681;1602;5277;41079;190802*	0.772	0.772	0.772	0.772	0.772	0.772
1;2;172;681;1602;6813;36553;104311	0.99	0.99	0.9899999999999999	0.99	0.99	0.99
1;2;172;681;1602;8329;30027*;163391*	0.99	0.99	0.9899999999999999	0.99	0.99	0.99
1;2;172;681;1602;8488;40419;111014	0.293	0.41975	0.5465	0.5465	0.67325	0.8
1;2;172;681;1726;5988;26313;117163*	0.212	0.7955	0.7955	0.99	0.99	0.99
1;2;172;681;1726;5988;39327;136488	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;681;1726;6616;31212*;168128*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;681;2806;10393;27175;82431	0.193	0.2345	0.276	0.276	0.3175	0.359
1;2;172;681;2806;5230;20878;153733*	0.554	0.663	0.772	0.772	0.881	0.99
1;2;172;681;2806;5230;30141;120423	0.243	0.243	0.243	0.243	0.243	0.243
1;2;172;681;2806;5230;30141;87266	0.0	0.06475	0.353	0.097	0.7677499999999999	0.99
1;2;172;681;2806;5230;30971;101276	0.0	0.3055	0.5336666666666666	0.611	0.8005	0.99
1;2;172;681;2806;5230;30971;110033	0.293	0.293	0.293	0.293	0.293	0.293
1;2;172;681;2806;5230;30971;121832	0.429	0.575	0.7133333333333334	0.721	0.8554999999999999	0.99
1;2;172;881;3136;5979;24962;130917*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;881;3136;5979;38242;191771*	0.0	0.119	0.5656521739130435	0.466	0.99	0.99
1;2;172;937;1778;5238;24025*;161238*	0.099	0.702	0.7928	0.99	0.99	0.99
1;2;172;937;1778;6381;41610;100710	0.078	0.078	0.078	0.078	0.078	0.078
1;2;172;937;1778;8843;34628*;108621*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;176;769;1513;8646;38025;122269*	0.41	0.41	0.41	0.41	0.41	0.41
1;2;176;769;1513;9200;25804;172581*	0.191	0.79025	0.79025	0.99	0.99	0.99
1;2;176;769;1513;9200;37982;89321*	0.042	0.27899999999999997	0.516	0.516	0.753	0.99
1;2;194;1055;2685;10055;28514;170805*	0.0	0.0	0.0	0.0	0.0	0.0
1;2;194;1055;2685;8127;24119;184560	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;10369;31767;102902	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;10369;31767;171519	0.0	0.0	0.0	0.0	0.0	0.0
1;2;194;1090;2896;10369;31767;184873	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;10369;31767;84528	0.059	0.059	0.059	0.059	0.059	0.059
1;2;194;1090;2896;6195;20010;151526	0.606	0.606	0.606	0.606	0.606	0.606
1;2;194;1090;2896;6195;29022;98727	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;6652;21882;154593	0.293	0.293	0.293	0.293	0.293	0.293
1;2;194;1090;2896;6652;21882;80767	0.359	0.51675	0.6745	0.6745	0.8322499999999999	0.99
