lineage	min	q1	mean	median	q3	max
1;3;165;997;2149;10268;20085;92138	0.0	0.1305	0.6802777777777778	0.99	0.99	0.99
1;3;165;997;2149;10332;20333;115603	0.243	0.243	0.243	0.243	0.243	0.243
1;3;165;997;2149;10332;20333;152387	0.0	0.0	0.0	0.0	0.0	0.0
1;3;165;997;2149;10332;20333;98493	0.064	0.24475	0.6043999999999999	0.7095	0.99	0.99
1;3;165;997;2149;10332;24064;151196*	0.06	0.09975	0.35015	0.23	0.456	0.99
1;3;165;997;2149;10332;35457;102628	0.0	0.127	0.46480459770114946	0.298	0.99	0.99
1;3;165;997;2149;10332;35457;152845	0.122	0.293	0.5322	0.526	0.73	0.99
1;3;165;997;2149;10332;35457;92003	0.0	0.1305	0.516	0.34850000000000003	0.99	0.99
1;3;165;997;2149;10332;38541;125336*	0.077	0.7617499999999999	0.7617499999999999	0.99	0.99	0.99
1;3;165;997;2149;10379;25838;154266	0.45	0.585	0.72	0.72	0.855	0.99
1;3;165;997;2149;10379;25883;100595	0.199	0.5945	0.7263333333333334	0.99	0.99	0.99
1;3;165;997;2149;10379;25883;149035	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;10379;25883;164514	0.048	0.1575	0.441	0.247	0.7435	0.99
1;3;165;997;2149;10379;28812;117083	0.082	0.14225	0.4868	0.3695	0.91025	0.99
1;3;165;997;2149;10379;28812;124695	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;10379;28812;164611	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;10379;28812;177124	0.51	0.5105	0.511	0.511	0.5115000000000001	0.512
1;3;165;997;2149;10379;28812;190523	0.19	0.59675	0.766375	0.99	0.99	0.99
1;3;165;997;2149;10379;34388;98300*	0.232	0.262	0.6434	0.743	0.99	0.99
1;3;165;997;2149;10379;34716;185503*	0.022	0.122	0.4955	0.3185	0.99	0.99
1;3;165;997;2149;10379;39547;172100*	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;10379;40785;103381	0.0	0.182	0.5396	0.536	0.99	0.99
1;3;165;997;2149;10379;40785;106382	0.25	0.293	0.7026	0.99	0.99	0.99
1;3;165;997;2149;10379;40785;108675	0.089	0.0965	0.558625	0.609	0.99	0.99
1;3;165;997;2149;10379;40785;119141	0.09	0.1065	0.327	0.114	0.3345	0.99
1;3;165;997;2149;10379;40785;131383	0.338	0.664	0.7726666666666667	0.99	0.99	0.99
1;3;165;997;2149;10379;40785;133431	0.0	0.13	0.48936842105263156	0.347	0.99	0.99
1;3;165;997;2149;10379;40785;136381	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;10379;40785;137426	0.0	0.402	0.6535	0.835	0.99	0.99
1;3;165;997;2149;10379;40785;138541	0.0	0.21449999999999997	0.2495	0.303	0.338	0.392
1;3;165;997;2149;10379;40785;140773	0.0	0.384	0.7317142857142857	0.99	0.99	0.99
1;3;165;997;2149;10379;40785;147850	0.114	0.771	0.771	0.99	0.99	0.99
1;3;165;997;2149;10379;40785;150816	0.99	0.99	0.9899999999999999	0.99	0.99	0.99
1;3;165;997;2149;10379;40785;159425	0.1	0.212	0.5066315789473684	0.345	0.8514999999999999	0.99
1;3;165;997;2149;10379;40785;159905	0.004	0.7869999999999999	0.7911428571428571	0.99	0.99	0.99
1;3;165;997;2149;10379;40785;160697	0.036	0.26525	0.6016666666666667	0.6910000000000001	0.99	0.99
1;3;165;997;2149;10379;40785;165941	0.086	0.10350000000000001	0.42642857142857143	0.293	0.7045	0.99
1;3;165;997;2149;10379;40785;166887	0.359	0.57675	0.793	0.99	0.99	0.99
1;3;165;997;2149;10379;40785;167332	0.488	0.488	0.488	0.488	0.488	0.488
1;3;165;997;2149;10379;40785;169162	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;10379;40785;169646	0.0	0.18	0.5515882352941177	0.428	0.99	0.99
1;3;165;997;2149;10379;40785;172170	0.606	0.702	0.798	0.798	0.894	0.99
1;3;165;997;2149;10379;40785;187104	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;10379;40785;190577	0.089	0.1705	0.626625	0.825	0.99	0.99
1;3;165;997;2149;10379;40785;87455	0.027	0.20400000000000001	0.6218181818181818	0.99	0.99	0.99
1;3;165;997;2149;10379;40785;91181	0.293	0.3825	0.6033333333333334	0.49	0.88025	0.99
1;3;165;997;2149;10379;40785;97004	0.0	0.546	0.7032	0.99	0.99	0.99
1;3;165;997;2149;10397;20765;183601*	0.263	0.32675	0.64775	0.669	0.99	0.99
1;3;165;997;2149;10397;31660;147057	0.268	0.66925	0.76275	0.8965000000000001	0.99	0.99
1;3;165;997;2149;10397;31660;93216	0.0	0.164	0.508	0.396	0.99	0.99
1;3;165;997;2149;10397;31660;98867	0.0	0.154	0.4994166666666667	0.2875	0.99	0.99
1;3;165;997;2149;10397;44017;164578	0.209	0.209	0.209	0.209	0.209	0.209
1;3;165;997;2149;10397;44017;191507	0.99	0.99	0.9899999999999999	0.99	0.99	0.99
1;3;165;997;2149;10397;44017;99867	0.099	0.196	0.24233333333333332	0.293	0.314	0.335
1;3;165;997;2149;10430;29084;107764	0.0	0.233	0.5981904761904762	0.99	0.99	0.99
1;3;165;997;2149;10430;29084;189097	0.0	0.1195	0.49222727272727274	0.3655	0.99	0.99
1;3;165;997;2149;10430;29084;96484	0.0	0.134	0.612448275862069	0.707	0.99	0.99
1;3;165;997;2149;5150;24489*;80641*	0.127	0.429	0.6812222222222223	0.73	0.99	0.99
1;3;165;997;2149;5175;21585;135040	0.0	0.1245	0.45672549019607844	0.274	0.99	0.99
1;3;165;997;2149;5175;21585;142174	0.118	0.14150000000000001	0.42042857142857143	0.191	0.6805	0.99
1;3;165;997;2149;5175;21585;142844	0.0	0.2485	0.6985714285714285	0.99	0.99	0.99
1;3;165;997;2149;5175;39440;154829	0.0	0.199	0.6092	0.7769999999999999	0.99	0.99
1;3;165;997;2149;5175;39440;181571	0.0	0.13824999999999998	0.5001521739130436	0.3865	0.99	0.99
1;3;165;997;2149;5293;44363*;148983*	0.132	0.1615	0.43766666666666665	0.191	0.5905	0.99
1;3;165;997;2149;5325;27954;132552	0.0	0.14100000000000001	0.5287021276595745	0.529	0.99	0.99
1;3;165;997;2149;5325;27954;89769	0.347	0.6685	0.7756666666666666	0.99	0.99	0.99
1;3;165;997;2149;5373;26477;112017	0.0	0.182	0.5869586645468998	0.615	0.99	0.99
1;3;165;997;2149;5373;26477;121018	0.0	0.1835	0.5578139534883721	0.442	0.99	0.99
1;3;165;997;2149;5373;26477;124738	0.0	0.139	0.4722274031563845	0.3345	0.99	0.99
1;3;165;997;2149;5373;26477;132506	0.0	0.182	0.5781753267973856	0.595	0.99	0.99
1;3;165;997;2149;5373;26477;136551	0.0	0.20325	0.6114509803921568	0.6715	0.99	0.99
1;3;165;997;2149;5373;26477;152744	0.0	0.16425	0.5871071428571428	0.5595	0.99	0.99
1;3;165;997;2149;5373;26477;164961	0.0	0.4435	0.6648571428571428	0.851	0.9630000000000001	0.99
1;3;165;997;2149;5373;26477;169116	0.0	0.161	0.5680903614457831	0.524	0.99	0.99
1;3;165;997;2149;5373;26477;177847	0.0	0.177	0.5894144	0.648	0.99	0.99
1;3;165;997;2149;5373;26477;184004	0.0	0.1415	0.5241068249258161	0.3855	0.99	0.99
1;3;165;997;2149;5373;26477;186889	0.0	0.21025	0.5555909090909091	0.4535	0.99	0.99
1;3;165;997;2149;5373;26477;187051	0.0	0.127	0.5010252100840337	0.331	0.99	0.99
1;3;165;997;2149;5373;26477;91615	0.0	0.1175	0.48614285714285715	0.3105	0.99	0.99
1;3;165;997;2149;5373;27864;100836	0.0	0.147	0.4454927536231884	0.291	0.99	0.99
1;3;165;997;2149;5373;27864;103436	0.0	0.191	0.5661402714932127	0.51	0.99	0.99
1;3;165;997;2149;5373;27864;103863	0.0	0.1565	0.5096195652173913	0.3725	0.99	0.99
1;3;165;997;2149;5373;27864;106320	0.0	0.127	0.5265857740585774	0.428	0.99	0.99
1;3;165;997;2149;5373;27864;107419	0.0	0.153	0.5099189704480457	0.372	0.99	0.99
1;3;165;997;2149;5373;27864;108288	0.127	0.342	0.6917692307692308	0.99	0.99	0.99
1;3;165;997;2149;5373;27864;113802	0.0	0.16	0.5111137005649717	0.395	0.99	0.99
1;3;165;997;2149;5373;27864;117242	0.0	0.0	0.0	0.0	0.0	0.0
1;3;165;997;2149;5373;27864;123909	0.0	0.18475	0.5617313432835821	0.5305	0.99	0.99
1;3;165;997;2149;5373;27864;124800	0.0	0.14024999999999999	0.5229925373134329	0.4195	0.99	0.99
1;3;165;997;2149;5373;27864;126620	0.428	0.765	0.8326	0.99	0.99	0.99
1;3;165;997;2149;5373;27864;130751	0.0	0.116	0.4443062338844229	0.293	0.99	0.99
1;3;165;997;2149;5373;27864;136040	0.0	0.127	0.46735014409221903	0.326	0.99	0.99
1;3;165;997;2149;5373;27864;139124	0.0	0.06999999999999999	0.5478333333333333	0.6745	0.99	0.99
1;3;165;997;2149;5373;27864;142718	0.0	0.122	0.5262631578947369	0.479	0.99	0.99
1;3;165;997;2149;5373;27864;143628	0.0	0.23600000000000002	0.5985	0.643	0.99	0.99
1;3;165;997;2149;5373;27864;144929	0.134	0.562	0.7046666666666667	0.99	0.99	0.99
1;3;165;997;2149;5373;27864;156548	0.0	0.12175	0.5108636363636363	0.306	0.99	0.99
1;3;165;997;2149;5373;27864;159047	0.0	0.2975	0.5548	0.583	0.8795	0.99
1;3;165;997;2149;5373;27864;159811	0.078	0.312	0.6799166666666667	0.99	0.99	0.99
1;3;165;997;2149;5373;27864;165295	0.0	0.2695	0.6946117216117216	0.99	0.99	0.99
1;3;165;997;2149;5373;27864;166519	0.0	0.1635	0.5262431818181819	0.4175	0.99	0.99
1;3;165;997;2149;5373;27864;174623	0.026	0.127	0.45225	0.319	0.8445	0.99
1;3;165;997;2149;5373;27864;177370	0.0	0.14875	0.5162285714285715	0.3795	0.99	0.99
1;3;165;997;2149;5373;27864;177968	0.0	0.144	0.48962557710064636	0.359	0.99	0.99
1;3;165;997;2149;5373;27864;179841	0.068	0.14550000000000002	0.5510434782608695	0.606	0.99	0.99
1;3;165;997;2149;5373;27864;181607	0.0	0.12925	0.5426409090909091	0.4945	0.99	0.99
1;3;165;997;2149;5373;27864;191689	0.0	0.142	0.5078761526914003	0.359	0.99	0.99
1;3;165;997;2149;5373;27864;81245	0.0	0.148	0.5289950932286556	0.429	0.99	0.99
1;3;165;997;2149;5373;27864;85053	0.135	0.5625	0.7050000000000001	0.99	0.99	0.99
1;3;165;997;2149;5373;27864;85764	0.0	0.15025	0.5390092592592592	0.4525	0.99	0.99
1;3;165;997;2149;5373;27864;85884	0.0	0.276	0.6109411764705882	0.5265	0.99	0.99
1;3;165;997;2149;5373;27864;86813	0.0	0.1095	0.350953125	0.2025	0.47025	0.99
1;3;165;997;2149;5373;27864;94756	0.036	0.243	0.5074117647058823	0.494	0.99	0.99
1;3;165;997;2149;5381;22588;101091	0.124	0.17300000000000001	0.4561	0.2925	0.7135	0.99
1;3;165;997;2149;5381;22827;179059*	0.0	0.0885	0.47562499999999996	0.35450000000000004	0.99	0.99
1;3;165;997;2149;5381;23520;186345*	0.0	0.21825	0.64775	0.99	0.99	0.99
1;3;165;997;2149;5381;24484;90060*	0.0	0.248	0.5259999999999999	0.428	0.99	0.99
1;3;165;997;2149;5381;24634;152641	0.0	0.0	0.0	0.0	0.0	0.0
1;3;165;997;2149;5381;24634;153323	0.24	0.24	0.24	0.24	0.24	0.24
1;3;165;997;2149;5381;24634;157558	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;5381;24634;158692	0.0	0.1775	0.6626315789473685	0.99	0.99	0.99
1;3;165;997;2149;5381;27938;106967	0.089	0.089	0.089	0.089	0.089	0.089
1;3;165;997;2149;5381;27938;109413	0.04	0.127	0.36639999999999995	0.212	0.606	0.847
1;3;165;997;2149;5381;27938;124994	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;5381;27938;126958	0.089	0.203	0.5431111111111111	0.367	0.99	0.99
1;3;165;997;2149;5381;29234;128916	0.031	0.141	0.46684615384615386	0.357	0.99	0.99
1;3;165;997;2149;5381;29234;129112	0.0	0.21499999999999997	0.47759999999999997	0.383	0.8554999999999999	0.99
1;3;165;997;2149;5381;29234;139348	0.721	0.99	0.9362	0.99	0.99	0.99
1;3;165;997;2149;5381;29234;142820	0.019	0.11649999999999999	0.3815	0.251	0.4845	0.99
1;3;165;997;2149;5381;29234;184841	0.0	0.3085	0.6301111111111112	0.8125	0.99	0.99
1;3;165;997;2149;5381;31585;125758	0.271	0.45075	0.6305000000000001	0.6305000000000001	0.81025	0.99
1;3;165;997;2149;5381;31585;82799	0.0	0.0945	0.5031428571428571	0.363	0.99	0.99
1;3;165;997;2149;5381;31585;87456	0.717	0.78525	0.8534999999999999	0.8534999999999999	0.92175	0.99
1;3;165;997;2149;5381;31585;89383	0.109	0.2525	0.6735454545454546	0.99	0.99	0.99
1;3;165;997;2149;5381;36612;101312	0.0	0.221	0.6275364517488411	0.846	0.99	0.99
1;3;165;997;2149;5381;36612;123112	0.0	0.2445	0.628578947368421	0.79	0.99	0.99
1;3;165;997;2149;5381;36612;131400	0.0	0.1215	0.41100000000000003	0.243	0.6165	0.99
1;3;165;997;2149;5381;36612;143089	0.0	0.154	0.4433913043478261	0.26	0.84	0.99
1;3;165;997;2149;5381;36612;143717	0.029	0.16	0.5410666666666667	0.351	0.99	0.99
1;3;165;997;2149;5381;36612;155873	0.0	0.5395	0.7738846153846153	0.99	0.99	0.99
1;3;165;997;2149;5381;36612;180328	0.0	0.4975	0.7120000000000001	0.99	0.99	0.99
1;3;165;997;2149;5381;36612;186382	0.05	0.285	0.52	0.52	0.755	0.99
1;3;165;997;2149;5381;36612;192524	0.0	0.036	0.4444	0.206	0.99	0.99
1;3;165;997;2149;5381;37273;100357	0.0	0.13699999999999998	0.508425	0.38	0.99	0.99
1;3;165;997;2149;5381;37273;109655	0.0	0.19175	0.5785	0.5980000000000001	0.99	0.99
1;3;165;997;2149;5381;37273;110598	0.0	0.128	0.43795454545454543	0.319	0.84075	0.99
1;3;165;997;2149;5381;37273;112475	0.0	0.16625	0.5751229508196721	0.5355000000000001	0.99	0.99
1;3;165;997;2149;5381;37273;112883	0.0	0.1425	0.5079255319148935	0.402	0.99	0.99
1;3;165;997;2149;5381;37273;119619	0.0	0.313	0.6888611111111111	0.99	0.99	0.99
1;3;165;997;2149;5381;37273;130329	0.0	0.1275	0.4537111111111111	0.299	0.99	0.99
1;3;165;997;2149;5381;37273;132683	0.0	0.1635	0.4990100502512563	0.353	0.99	0.99
1;3;165;997;2149;5381;37273;132750	0.0	0.1775	0.5976372549019607	0.6335	0.99	0.99
1;3;165;997;2149;5381;37273;132753	0.0	0.1355	0.4509666666666667	0.285	0.99	0.99
1;3;165;997;2149;5381;37273;135346	0.0	0.108	0.4847096774193549	0.374	0.99	0.99
1;3;165;997;2149;5381;37273;135962	0.0	0.141	0.4909322033898305	0.3465	0.99	0.99
1;3;165;997;2149;5381;37273;136475	0.0	0.14325	0.33641666666666664	0.223	0.40325	0.99
1;3;165;997;2149;5381;37273;139350	0.086	0.179	0.6196363636363637	0.7985	0.99	0.99
1;3;165;997;2149;5381;37273;141015	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;5381;37273;143927	0.089	0.182	0.3781111111111111	0.195	0.456	0.99
1;3;165;997;2149;5381;37273;144071	0.275	0.6325000000000001	0.7516666666666666	0.99	0.99	0.99
1;3;165;997;2149;5381;37273;144249	0.049	0.23600000000000002	0.617842105263158	0.677	0.99	0.99
1;3;165;997;2149;5381;37273;144610	0.0	0.094	0.4188685714285715	0.243	0.8185	0.99
1;3;165;997;2149;5381;37273;145347	0.0	0.18175	0.4025	0.238	0.5785	0.99
1;3;165;997;2149;5381;37273;147300	0.0	0.182	0.47007272727272725	0.347	0.99	0.99
1;3;165;997;2149;5381;37273;148878	0.0	0.108	0.5005882352941177	0.433	0.99	0.99
1;3;165;997;2149;5381;37273;153338	0.0	0.127	0.5105058823529411	0.41	0.99	0.99
1;3;165;997;2149;5381;37273;153826	0.0	0.182	0.5447606837606838	0.428	0.99	0.99
1;3;165;997;2149;5381;37273;158107	0.241	0.241	0.241	0.241	0.241	0.241
1;3;165;997;2149;5381;37273;159364	0.0	0.171	0.5730175438596491	0.575	0.99	0.99
1;3;165;997;2149;5381;37273;161527	0.023	0.243	0.46022222222222214	0.296	0.606	0.99
1;3;165;997;2149;5381;37273;164689	0.0	0.26875000000000004	0.6441818181818182	0.99	0.99	0.99
1;3;165;997;2149;5381;37273;168936	0.003	0.114	0.4963529411764706	0.415	0.99	0.99
1;3;165;997;2149;5381;37273;169205	0.0	0.16425	0.5062931034482758	0.40049999999999997	0.99	0.99
1;3;165;997;2149;5381;37273;169412	0.0	0.1985	0.5266363636363637	0.51	0.99	0.99
1;3;165;997;2149;5381;37273;169676	0.0	0.13675	0.534590909090909	0.489	0.99	0.99
1;3;165;997;2149;5381;37273;171113	0.0	0.113	0.4645026455026455	0.281	0.99	0.99
1;3;165;997;2149;5381;37273;172060	0.0	0.174	0.5476461538461539	0.477	0.99	0.99
1;3;165;997;2149;5381;37273;172934	0.0	0.13724999999999998	0.46156250000000004	0.3005	0.99	0.99
1;3;165;997;2149;5381;37273;175887	0.0	0.17425	0.5407692307692308	0.3715	0.99	0.99
1;3;165;997;2149;5381;37273;182011	0.0	0.15	0.47547058823529414	0.27649999999999997	0.99	0.99
1;3;165;997;2149;5381;37273;183585	0.0	0.13	0.5102168674698795	0.416	0.99	0.99
1;3;165;997;2149;5381;37273;190252	0.0	0.13	0.476767955801105	0.3165	0.99	0.99
1;3;165;997;2149;5381;37273;190296	0.0	0.181	0.5142	0.489	0.99	0.99
1;3;165;997;2149;5381;37273;192419	0.047	0.182	0.5165405405405405	0.398	0.99	0.99
1;3;165;997;2149;5381;37273;192517	0.04	0.0935	0.438	0.2345	0.99	0.99
1;3;165;997;2149;5381;37273;80102	0.0	0.08775	0.5153571428571428	0.548	0.99	0.99
1;3;165;997;2149;5381;37273;88293	0.0	0.1045	0.4241208791208791	0.274	0.99	0.99
1;3;165;997;2149;5381;37273;88467	0.0	0.28325	0.6505606060606061	0.8115	0.99	0.99
1;3;165;997;2149;5381;37273;89609	0.0	0.121	0.4551004464285714	0.271	0.99	0.99
1;3;165;997;2149;5381;37273;90661	0.0	0.11025	0.4010214285714286	0.216	0.6527499999999999	0.99
1;3;165;997;2149;5381;37273;93794	0.0	0.191	0.5704495412844037	0.5105	0.99	0.99
1;3;165;997;2149;5381;37754;162097*	0.127	0.5585	0.7023333333333334	0.99	0.99	0.99
1;3;165;997;2149;5381;39125;123582	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;5381;39125;83554	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;5381;42557;117248	0.04	0.055499999999999994	0.078	0.071	0.097	0.123
1;3;165;997;2149;5381;42557;85173	0.006	0.18625	0.471	0.2665	0.99	0.99
1;3;165;997;2149;5381;42557;97125	0.293	0.3095	0.32599999999999996	0.32599999999999996	0.34249999999999997	0.359
1;3;165;997;2149;5381;43165;127176*	0.014	0.258	0.502	0.502	0.746	0.99
1;3;165;997;2149;5407;22477;160226*	0.0	0.24525	0.6256363636363637	0.6915	0.99	0.99
1;3;165;997;2149;5407;22661;128919	0.0	0.18725	0.6422777777777777	0.99	0.99	0.99
1;3;165;997;2149;5407;22661;172294	0.0	0.1255	0.4936875	0.305	0.99	0.99
1;3;165;997;2149;5407;22661;188340	0.0	0.08199999999999999	0.49865217391304345	0.298	0.99	0.99
1;3;165;997;2149;5407;22661;87273	0.0	0.4395	0.6912857142857144	0.99	0.99	0.99
1;3;165;997;2149;5407;22719;100388	0.0	0.3435	0.7300410958904109	0.99	0.99	0.99
1;3;165;997;2149;5407;22719;105561	0.0	0.99	0.8295999999999999	0.99	0.99	0.99
1;3;165;997;2149;5407;22719;121392	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;5407;22719;127143	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;5407;22719;139658	0.112	0.77725	0.773875	0.99	0.99	0.99
1;3;165;997;2149;5407;22719;154346	0.0	0.0455	0.6122	0.99	0.99	0.99
1;3;165;997;2149;5407;22719;170831	0.036	0.523	0.7730384615384616	0.99	0.99	0.99
1;3;165;997;2149;5407;22719;177404	0.0	0.99	0.8667884615384616	0.99	0.99	0.99
1;3;165;997;2149;5407;22719;184773	0.0	0.236	0.5375555555555556	0.436	0.99	0.99
1;3;165;997;2149;5407;22719;94869	0.0	0.8865	0.8225588235294117	0.99	0.99	0.99
1;3;165;997;2149;5407;22719;95554	0.293	0.99	0.8593124999999999	0.99	0.99	0.99
1;3;165;997;2149;5407;22719;98876	0.001	0.99	0.8026666666666666	0.99	0.99	0.99
1;3;165;997;2149;5407;22719;99026	0.0	0.243	0.7072222222222222	0.99	0.99	0.99
1;3;165;997;2149;5407;23813;118782	0.0	0.147	0.491763358778626	0.372	0.99	0.99
1;3;165;997;2149;5407;23813;132601	0.0	0.17300000000000001	0.6621111111111111	0.99	0.99	0.99
1;3;165;997;2149;5407;23813;142350	0.0	0.1815	0.533235294117647	0.456	0.99	0.99
1;3;165;997;2149;5407;23813;152868	0.0	0.29674999999999996	0.6544	0.8045	0.99	0.99
1;3;165;997;2149;5407;23813;176488	0.089	0.14475	0.5215833333333334	0.486	0.8985	0.99
1;3;165;997;2149;5407;23813;186775	0.0	0.14475	0.533625	0.542	0.99	0.99
1;3;165;997;2149;5407;23813;88364	0.0	0.302	0.5734285714285715	0.497	0.99	0.99
1;3;165;997;2149;5407;25841;102284	0.0	0.14025	0.40708823529411764	0.2975	0.60175	0.99
1;3;165;997;2149;5407;25841;107986	0.0	0.16849999999999998	0.6563571428571429	0.8554999999999999	0.99	0.99
1;3;165;997;2149;5407;25841;117040	0.002	0.212	0.5684444444444444	0.51	0.99	0.99
1;3;165;997;2149;5407;25841;117889	0.0	0.2535	0.6122978723404255	0.712	0.99	0.99
1;3;165;997;2149;5407;25841;122747	0.0	0.1565	0.47196153846153843	0.3145	0.94325	0.99
1;3;165;997;2149;5407;25841;137583	0.073	0.17475	0.28700000000000003	0.2365	0.428	0.559
1;3;165;997;2149;5407;25841;137681	0.063	0.174	0.43863636363636366	0.274	0.75	0.99
1;3;165;997;2149;5407;25841;157240	0.005	0.51	0.7292222222222222	0.99	0.99	0.99
1;3;165;997;2149;5407;25841;184825	0.109	0.40775	0.7311	0.99	0.99	0.99
1;3;165;997;2149;5407;25841;187226	0.0	0.14200000000000002	0.5126923076923077	0.4635	0.99	0.99
1;3;165;997;2149;5407;28922;129574	0.268	0.4485	0.629	0.629	0.8095	0.99
1;3;165;997;2149;5407;28922;149890	0.0	0.182	0.5541290322580645	0.398	0.99	0.99
1;3;165;997;2149;5407;28922;169352	0.0	0.17174999999999999	0.3790833333333334	0.263	0.4985	0.99
1;3;165;997;2149;5407;28922;186079	0.14	0.5569999999999999	0.690375	0.7035	0.99	0.99
1;3;165;997;2149;5407;30499;89604*	0.006	0.06225	0.304	0.11000000000000001	0.35175	0.99
1;3;165;997;2149;5407;32605;131371	0.0	0.171	0.5681651376146789	0.555	0.99	0.99
1;3;165;997;2149;5407;32605;162538	0.162	0.99	0.8362999999999999	0.99	0.99	0.99
1;3;165;997;2149;5407;33041;132664	0.04	0.19175	0.6010555555555555	0.722	0.99	0.99
1;3;165;997;2149;5407;33041;166503	0.0	0.16475	0.5650384615384615	0.512	0.99	0.99
1;3;165;997;2149;5407;33985;85361*	0.007	0.443	0.7486923076923078	0.99	0.99	0.99
1;3;165;997;2149;5407;34848;101479*	0.0	0.1385	0.4468824427480916	0.298	0.959	0.99
1;3;165;997;2149;5407;36742;188149*	0.127	0.24175	0.5489166666666666	0.32499999999999996	0.99	0.99
1;3;165;997;2149;5407;38616;185737	0.0	0.12325	0.5528333333333334	0.632	0.99	0.99
1;3;165;997;2149;5407;38616;89017	0.0	0.171	0.5149245283018868	0.388	0.99	0.99
1;3;165;997;2149;5407;38683;161757*	0.0	0.1515	0.5084878048780488	0.405	0.99	0.99
1;3;165;997;2149;5407;40336;116454	0.614	0.802	0.8646666666666666	0.99	0.99	0.99
1;3;165;997;2149;5407;40336;176904	0.0	0.068	0.35020689655172416	0.187	0.61	0.99
1;3;165;997;2149;5407;42951;114288*	0.0	0.1425	0.4424	0.303	0.8095	0.99
1;3;165;997;2149;5407;43898;148240*	0.0	0.182	0.5338513597033374	0.44	0.99	0.99
1;3;165;997;2149;5413;29810;91056*	0.0	0.08975	0.59985	0.9215	0.99	0.99
1;3;165;997;2149;5413;37780;121375*	0.0	0.1365	0.5405	0.586	0.99	0.99
1;3;165;997;2149;5413;38925;93331*	0.136	0.4235	0.6123333333333333	0.711	0.8505	0.99
1;3;165;997;2149;5503;21436*;144853*	0.1	0.651	0.825972972972973	0.99	0.99	0.99
1;3;165;997;2149;5557;25010*;164693*	0.063	0.101	0.5892307692307692	0.99	0.99	0.99
1;3;165;997;2149;5631;40433;181741	0.99	0.99	0.9899999999999999	0.99	0.99	0.99
1;3;165;997;2149;5631;40433;93833	0.0	0.111	0.5137647058823529	0.295	0.99	0.99
1;3;165;997;2149;5672;25684;108890	0.03	0.21	0.5516153846153846	0.556	0.99	0.99
1;3;165;997;2149;5672;25684;147888	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;5672;25684;151286	0.013	0.1125	0.40499999999999997	0.212	0.601	0.99
1;3;165;997;2149;5672;25684;180068	0.0	0.2175	0.6220588235294118	0.833	0.99	0.99
1;3;165;997;2149;5672;25684;185015	0.086	0.2	0.4633333333333334	0.314	0.652	0.99
1;3;165;997;2149;5672;25825;176021*	0.0	0.11825	0.3936127819548872	0.241	0.64425	0.99
1;3;165;997;2149;5703;20284;120799	0.0	0.09175	0.46352173913043476	0.2975	0.99	0.99
1;3;165;997;2149;5703;20284;142910	0.0	0.09525	0.38587499999999997	0.3105	0.51675	0.99
1;3;165;997;2149;5703;20284;84797	0.0	0.19975	0.56521875	0.505	0.99	0.99
1;3;165;997;2149;5703;21955;163104*	0.0	0.23299999999999998	0.6422777777777777	0.9215	0.99	0.99
1;3;165;997;2149;5703;29218;105822	0.0	0.232	0.7037560975609756	0.99	0.99	0.99
1;3;165;997;2149;5703;29218;106411	0.012	0.99	0.7944	0.99	0.99	0.99
1;3;165;997;2149;5703;29218;128330	0.99	0.99	0.99	0.99	0.99	0.99
1;3;165;997;2149;5703;29218;164799	0.09	0.206	0.45005882352941173	0.345	0.684	0.99
1;3;165;997;2149;5703;29218;181073	0.006	0.26675	0.714125	0.99	0.99	0.99
1;3;165;997;2149;5703;29218;84233	0.0	0.0635	0.37233333333333335	0.127	0.5585	0.99
1;3;165;997;2149;5703;30478;155132	0.0	0.457	0.7030833333333333	0.99	0.99	0.99
1;3;165;997;2149;5703;44493;185781*	0.185	0.248	0.5634285714285714	0.293	0.99	0.99
1;3;165;997;2149;5901;29477;91396*	0.073	0.78825	0.7923333333333332	0.99	0.99	0.99
1;3;165;997;2149;5901;33996;167716	0.112	0.5509999999999999	0.6973333333333334	0.99	0.99	0.99
1;3;165;997;2149;5901;33996;85028	0.079	0.46275	0.7064999999999999	0.99	0.99	0.99
1;3;165;997;2149;6034;35484;101098	0.129	0.22999999999999998	0.6091666666666667	0.6819999999999999	0.99	0.99
1;3;165;997;2149;6034;35484;137371	0.0	0.18875	0.659125	0.965	0.99	0.99
1;3;165;997;2149;6034;35484;145597	0.359	0.359	0.359	0.359	0.359	0.359
